type,artist,album,date,name,id,duration,popularity,url,venue,city,min_price,max_price,days_to_event,hype_score,sellout_risk,description
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Fortnight (feat. Post Malone),6dODwocEuGzHAavXqTbwHv,228965.0,72.0,https://open.spotify.com/track/6dODwocEuGzHAavXqTbwHv,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,The Tortured Poets Department,4PdLaGZubp4lghChqp8erB,293048.0,70.0,https://open.spotify.com/track/4PdLaGZubp4lghChqp8erB,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,My Boy Only Breaks His Favorite Toys,7uGYWMwRy24dm7RUDDhUlD,203801.0,72.0,https://open.spotify.com/track/7uGYWMwRy24dm7RUDDhUlD,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Down Bad,1kbEbBdEgQdQeLXCJh28pJ,261228.0,72.0,https://open.spotify.com/track/1kbEbBdEgQdQeLXCJh28pJ,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,"So Long, London",7wAkQFShJ27V8362MqevQr,262974.0,72.0,https://open.spotify.com/track/7wAkQFShJ27V8362MqevQr,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,But Daddy I Love Him,4QMgEffJQuKtjCNvqfRZ0m,340428.0,71.0,https://open.spotify.com/track/4QMgEffJQuKtjCNvqfRZ0m,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Fresh Out The Slammer,7IWcDWOfiooH5hRs9XOVYz,210789.0,70.0,https://open.spotify.com/track/7IWcDWOfiooH5hRs9XOVYz,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Florida!!! (feat. Florence + The Machine),5ExOm0dh4NyRyAdSAO9hyM,215463.0,70.0,https://open.spotify.com/track/5ExOm0dh4NyRyAdSAO9hyM,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Guilty as Sin?,799KrpEbhZp0MHeiA8YK9P,254365.0,75.0,https://open.spotify.com/track/799KrpEbhZp0MHeiA8YK9P,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Who’s Afraid of Little Old Me?,2d8UxVNhJinc8uat9PoM9y,334084.0,71.0,https://open.spotify.com/track/2d8UxVNhJinc8uat9PoM9y,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,I Can Fix Him (No Really I Can),5chnRTB9qMK3W1M41SnU9s,156297.0,67.0,https://open.spotify.com/track/5chnRTB9qMK3W1M41SnU9s,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,loml,3YkNIrAvbKNrrwwEd7NVLl,277156.0,75.0,https://open.spotify.com/track/3YkNIrAvbKNrrwwEd7NVLl,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,I Can Do It With a Broken Heart,2fPvQfGQEZOKtJ9qXeL4x8,218004.0,72.0,https://open.spotify.com/track/2fPvQfGQEZOKtJ9qXeL4x8,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,The Smallest Man Who Ever Lived,1xtw1krCR6Dw2KwkXw5z63,245541.0,72.0,https://open.spotify.com/track/1xtw1krCR6Dw2KwkXw5z63,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,The Alchemy,1tuNqJOtRQVHvONR8Lg3MZ,196900.0,71.0,https://open.spotify.com/track/1tuNqJOtRQVHvONR8Lg3MZ,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Clara Bow,4d9PtIEVij9jW5OaLinH66,216662.0,67.0,https://open.spotify.com/track/4d9PtIEVij9jW5OaLinH66,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,The Black Dog,62E2nR0od0M5HYxuYLaDz7,238857.0,72.0,https://open.spotify.com/track/62E2nR0od0M5HYxuYLaDz7,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,imgonnagetyouback,1kcwpPDQnqEqmezzXdJTCP,222072.0,73.0,https://open.spotify.com/track/1kcwpPDQnqEqmezzXdJTCP,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,The Albatross,4EF6IyONolQy0bIQXm2EmX,183878.0,68.0,https://open.spotify.com/track/4EF6IyONolQy0bIQXm2EmX,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,Chloe or Sam or Sophia or Marcus,1rmEsOezwf2lmIZTMAO5Ag,213281.0,70.0,https://open.spotify.com/track/1rmEsOezwf2lmIZTMAO5Ag,,,,,,,,
track,Taylor swift,THE TORTURED POETS DEPARTMENT,2024-04-18,Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,228965.0,82.0,https://open.spotify.com/track/2OzhQlSqBEmt7hmkYxfT6m,,,,,,,,
