record_type,artist,spotify_artist_id,album_id,album_name,album_release_date,track_id,track_name,track_number,disc_number,explicit,duration_ms,popularity,spotify_url,tm_event_name,tm_event_datetime,tm_venue,tm_city,tm_state,tm_country,tm_min_price,tm_max_price,tm_currency,tm_url,tm_attraction_id
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,6dODwocEuGzHAavXqTbwHv,Fortnight (feat. Post Malone),1,1,False,228965,72,https://open.spotify.com/track/6dODwocEuGzHAavXqTbwHv,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,4PdLaGZubp4lghChqp8erB,The Tortured Poets Department,2,1,True,293048,70,https://open.spotify.com/track/4PdLaGZubp4lghChqp8erB,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,7uGYWMwRy24dm7RUDDhUlD,My Boy Only Breaks His Favorite Toys,3,1,False,203801,72,https://open.spotify.com/track/7uGYWMwRy24dm7RUDDhUlD,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,1kbEbBdEgQdQeLXCJh28pJ,Down Bad,4,1,True,261228,72,https://open.spotify.com/track/1kbEbBdEgQdQeLXCJh28pJ,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,7wAkQFShJ27V8362MqevQr,"So Long, London",5,1,False,262974,72,https://open.spotify.com/track/7wAkQFShJ27V8362MqevQr,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,4QMgEffJQuKtjCNvqfRZ0m,But Daddy I Love Him,6,1,True,340428,71,https://open.spotify.com/track/4QMgEffJQuKtjCNvqfRZ0m,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,7IWcDWOfiooH5hRs9XOVYz,Fresh Out The Slammer,7,1,False,210789,70,https://open.spotify.com/track/7IWcDWOfiooH5hRs9XOVYz,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,5ExOm0dh4NyRyAdSAO9hyM,Florida!!! (feat. Florence + The Machine),8,1,True,215463,70,https://open.spotify.com/track/5ExOm0dh4NyRyAdSAO9hyM,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,799KrpEbhZp0MHeiA8YK9P,Guilty as Sin?,9,1,False,254365,75,https://open.spotify.com/track/799KrpEbhZp0MHeiA8YK9P,,,,,,,,,,,
track,Taylor swift,06HL4z0CvFAxyc27GXpf02,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,2d8UxVNhJinc8uat9PoM9y,Who’s Afraid of Little Old Me?,10,1,False,334084,71,https://open.spotify.com/track/2d8UxVNhJinc8uat9PoM9y,,,,,,,,,,,
