artist,track,popularity,album,release_date,artist,event,ticket_url
taylor swift,Cruel Summer,88.0,Lover,2019-08-23,taylor swift,"Find TicketsTAYLOR SWIFT TRIVIA! Phoenix, AZ Crescent Ballroom10/1/25, 6:00 PMOn partner site",https://www.ticketmaster.comhttps://www.ticketweb.com/event/taylor-swift-trivia-crescent-ballroom-tickets/13958914
taylor swift,august,88.0,folklore,2020-07-24,taylor swift,"Find TicketsTaylor Swift Night Starkville , MS Rick's Cafe10/3/25, 9:00 PMOn partner site",https://www.ticketmaster.comhttps://www.ticketweb.com/event/taylor-swift-night-ricks-cafe-tickets/14544263
taylor swift,cardigan,86.0,folklore,2020-07-24,taylor swift,"Find TicketsTaylor Rave - a Taylor Swift Rave Tempe, AZ Marquee Theatre10/3/25, 10:30 PM",https://www.ticketmaster.comhttps://www.ticketmaster.com/taylor-rave-a-taylor-swift-rave-tempe-arizona-10-03-2025/event/19006313A0FB1A60
taylor swift,Style,75.0,1989,2014-10-27,taylor swift,"Find TicketsTHE TAYLOR PARTY: Taylor Swift Night Wantagh, NY Mulcahy's10/3/25, 9:00 PMOn partner site",https://www.ticketmaster.comhttps://www.ticketweb.com/event/the-taylor-party-taylor-swift-mulcahys-tickets/14513493
taylor swift,Blank Space,75.0,1989,2014-10-27,taylor swift,"Find TicketsThe Taylor Party: Taylor Swift Night San Diego, CA Music Box10/10/25, 9:00 PMOn partner site",https://www.ticketmaster.comhttps://www.ticketweb.com/event/the-taylor-party-taylor-swift-music-box-tickets/14506293
taylor swift,Lover,85.0,Lover,2019-08-23,taylor swift,"Find TicketsThe Taylor Party: Taylor Swift Night Savannah, GA Victory North11/6/25, 8:00 PM",https://www.ticketmaster.comhttps://www.ticketmaster.com/event/Z7r9jZ1A7Qpqz
taylor swift,Fortnight (feat. Post Malone),82.0,THE TORTURED POETS DEPARTMENT,2024-04-18,taylor swift,"Find TicketsSwift Nation: A Tribute to Taylor Swift Atlantic City, NJ Tropicana Showroom at Tropicana Atlantic City11/15/25, 8:00 PM",https://www.ticketmaster.comhttps://www.ticketmaster.com/swift-nation-a-tribute-to-taylor-atlantic-city-new-jersey-11-15-2025/event/020062D4071DA66A
taylor swift,Shake It Off,73.0,1989,2014-10-27,taylor swift,"Find TicketsThe Taylor Party: Taylor Swift Night - 18+ Charleston, SC Music Farm10/4/25, 9:30 PM",https://www.ticketmaster.comhttps://www.ticketmaster.com/the-taylor-party-taylor-swift-night-charleston-south-carolina-10-04-2025/event/2D006313DD7B4C3C
taylor swift,Don’t Blame Me,83.0,reputation,2017-11-10,taylor swift,Tito's Balcony Upgrade: Taylor Night (Not A Concert Ticket),https://www.ticketmaster.comhttps://www.ticketmaster.com/titos-balcony-upgrade-taylor-night-not-charleston-south-carolina-10-04-2025/event/2D006313DD7F4C62
taylor swift,You Belong With Me (Taylor’s Version),83.0,Fearless (Taylor's Version),2021-04-09,taylor swift,Reserved Table Upgrade: Taylor Night (Not A Concert Ticket),https://www.ticketmaster.comhttps://www.ticketmaster.com/reserved-table-upgrade-taylor-night-not-charleston-south-carolina-10-04-2025/event/2D006313DD804C6A
